References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC,JLC Assembly
A1,2,2.54 mm header 15 pin 1 row,Samtec inc,SSA-115-S-T,Samtec,SSW-115-01-T-S,Samtec,SSA-115-S-T,,SSW-115-01-T-S,SAM1213-15-ND,200SSW11501TS,1981501,,2779587,,
C1,1,680 uf electrolict cap,Rubycon,35ZLH680MEFC10X23,,,,,,,1189-1749-ND,23235ZLH680MEFC10X2,7037560,,8126771,,
C2,1,220 uf electrolitic cap,Panasonic,EEUFC1V221,Panasonic,EEU-FC1V221,,,,,P10297-ND,667EEUFC1V221,3150726,,9692282,,
"D1,D5",1,Red LED 5mm,kingbright,L-53HD,Kingbright,L-53HD,Vishay,VLCS5830,,,754-2157-ND,78VLCS5830,2285988,,2889660,,
D2,1,1N4148,On Semiconductor,1N4148TR,Vishay,1N4148TR,ON Semiconductor,1N4148TR,,,1N4148FSCT-ND,5121N4148TR,6715477,,9843680,,
"D3,D4",1,"40V 3A, Schottky Diode",STM,1N5822RL,STMicroelectronics,1N5822RL,,,,,497-14742-1-ND,5111N5822TR,7146819,,3214544,,
"J1,J4",2,"Right Angle 50Ω PCB Mount Bulkhead Fitting BNC Connector,",TE connectivity,1-1337542-0,TE Connectivity,,Amphenol,B6252HB-NPP3G-50,,,A97552-ND,571113375420,5121203,,1020954,,
J2,1,Barrel jack,Cliff,FC68148 DC10A,,,,,,,,,,,,,
J3,2,JST Header 2 pin B2B XH series,JST,B2B-XH-A(LF)(SN),,,,,,,455-2247-ND,,8201554,,1516276,,
L1,1,33 μH ±10% Ferrite Radial Inductor,Bourns,RLB0914-330KL,,,,,,,RLB0914-330KL-ND,652RLB0914330KL,8118853,,2309242,,
Q1,1,NPN darlington,Fairchild,KSP 13BU,ON Semiconductor,KSP13BU,,,,,KSP13BU-ND,512KSP13BU,7390344,,2825113,,
"R1, R2, R3",2,220 resistor 250mW,Stackpole electronics,CF14JT220R,Stackpole Electronics,CF14JT220R,,,,,CF14JT220RCT-ND,,,,,,
"R4, R5, R6, R7",3,1k resistor 250mW,Yageo,SQP500JB-1K,TE Connectivity,CFR16J1K0,,,,,1.0KW-5-ND,603SQP500JB1K,1251150,,2329486,,
RV1,1,1k 1W 10% potentiometer,Vishay,249FGJS0XB25102KA,Bourns,51CAD-E28-A10L,,,,,51CAD-E28-A10L-ND,65251CADE28A10L,410176,,1107271,,
"SW1, SW2",2,DPDT,Multicomp,2MD3T2B2M6RE,,,,,,,,,7347205,,1550091,,
U1,1,step down voltage regulator,Texas instruments,LM2596T-12/NOPB,Texas Instruments,LM2596T-12/NOPB,,,,,LM2596T-12/NOPB-ND,926LM2596T12/NOPB,5333721,,1693993,,
A1,1,Arduino Nano,,,,,,,,,,,,,,,
C3,1,100nf ceramic capacitor,,,,,,,,,478-5117-ND,581AR215C104K4R,6994891,,,,
J6,1,connector for screen,JST,B4B-XH-A,JST,B4B-XH-A(LF)(SN),,,,,,,8201551,,,,
