"Source:","/home/andre/repositories/Openspritzer/PCB/OpenSpritzer_1.4.kicad_sch"
"Date:","Thu 13 Oct 2022 01:05:22 BST"
"Tool:","Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","A1","Arduino_Nano_v3.x","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"","","C1","680µF","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"","","C2","220µF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","C3","100nF","Device:C","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm","~"
"","","D1","LED","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"","","D2","1N4148","Diode:1N4148","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.nxp.com/documents/data_sheet/1N4148_1N4448.pdf"
"","","D3","D_Schottky","Device:D_Schottky","Diode_THT:D_DO-27_P15.24mm_Horizontal","~"
"","","D4","1N5824","Diode:1N5400","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"","","D5","LED","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
"","","J1","from Foot Pedal","Connector:Conn_01x02_Female","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~"
"","","J2","barrel_jack","Connector:Conn_01x03_Female","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~"
"","","J3","to Solenoid","Connector:Conn_01x02_Female","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"","","J4","from TTL pulse generator","Connector:Conn_01x02_Female","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~"
"","","J6","SSD1306_screen","Connector:Conn_01x04_Female","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"","","L1","33 uH","Device:L","Inductors_THT:L_Radial_D6.0mm_P4.00mm","~"
"","","Q1","Q_NPN_Darlington_EBC","Device:Q_NPN_Darlington_EBC","Package_TO_SOT_THT:TO-92L_Wide","~"
"","","R1","220","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"","","R2","220","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"","","R3","220","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"","","R4","1k","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"","","R5","1k","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"","","R6","1k","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"","","R7","1k","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"","","RV1","1k","Device:R_Potentiometer","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"","","SW1","SW_DPDT_x2","Switch:SW_DPDT_x2","Button_Switch_THT:SW_Push_2P2T_Vertical_E-Switch_800UDP8P1A1M6","~"
"","","SW2","SW_DPDT_x2","Switch:SW_DPDT_x2","Button_Switch_THT:SW_Push_2P2T_Vertical_E-Switch_800UDP8P1A1M6","~"
"","","U1","LM2596S-12","Regulator_Switching:LM2596S-12","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.ti.com/lit/ds/symlink/lm2596.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","A1","Arduino_Nano_v3.x","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"2","1","C1","680µF","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"3","1","C2","220µF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"4","1","C3","100nF","Device:C","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm","~"
"5","2","D1, D5","LED","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm","~"
"6","1","D2","1N4148","Diode:1N4148","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.nxp.com/documents/data_sheet/1N4148_1N4448.pdf"
"7","1","D3","D_Schottky","Device:D_Schottky","Diode_THT:D_DO-27_P15.24mm_Horizontal","~"
"8","1","D4","1N5824","Diode:1N5400","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"9","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
"10","1","J1","from Foot Pedal","Connector:Conn_01x02_Female","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~"
"11","1","J2","barrel_jack","Connector:Conn_01x03_Female","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~"
"12","1","J3","to Solenoid","Connector:Conn_01x02_Female","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"13","1","J4","from TTL pulse generator","Connector:Conn_01x02_Female","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~"
"14","1","J6","SSD1306_screen","Connector:Conn_01x04_Female","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"15","1","L1","33 uH","Device:L","Inductors_THT:L_Radial_D6.0mm_P4.00mm","~"
"16","1","Q1","Q_NPN_Darlington_EBC","Device:Q_NPN_Darlington_EBC","Package_TO_SOT_THT:TO-92L_Wide","~"
"17","3","R1, R2, R3","220","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"18","4","R4, R5, R6, R7","1k","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"19","1","RV1","1k","Device:R_Potentiometer","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"20","2","SW1, SW2","SW_DPDT_x2","Switch:SW_DPDT_x2","Button_Switch_THT:SW_Push_2P2T_Vertical_E-Switch_800UDP8P1A1M6","~"
"21","1","U1","LM2596S-12","Regulator_Switching:LM2596S-12","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
